MOVEMENT_TYPE|MOVEMENT_ID|TOW_ID|INICIAL_DATE_MOV|FINISH_DATE_MOV|WORKORDER|STATUS|MOV_ORIGIN|MOV_DESTINATION|POR_OCUPACION|PIECES|HEAT|OUT_DIAMETER|WALLTHICKNESS|STEEL_GRADE_DESC|SECU|LOT|INICIAL_DATE_PRG|FINISH_DATE_PRG|PRODUCT_ID|WORK_MODE|MOTIVO|CENTRO|CENTROSIG|T.Platada|POR_OCUPACION_DESTINO|ESSTOCK|FCH_STOCK|NIVEL|DESCANSO|EstibaOrig|TipoVol|Tons|MoviEjac|MoviOrigen
ENTRADA|0|G-73|23/05/2025 05:30:21|23/05/2025 05:32:06|5175402|10||7E13|78.65|2|28300|177.80|10.36|619||1000|20/05/2025 06:00:36|20/05/2025 06:02:20|85331|INDIVIDUAL|Estiba Ganadora: 7E13 Motivo: Equal: Obtruccion: 1821 Win: Completitud: 82|TRA3|LIN1|733|0.00|SI|22/05/2030 05:30:21|0|NO|||1.06|0|67
ENTRADA|1|G-71|23/05/2025 05:32:06|23/05/2025 05:34:09|0936860|20||7E2|61.20|3|59209|270.80|26.60|441||0|20/05/2025 10:10:00|20/05/2025 10:15:48|9173|INDIVIDUAL|Estiba Ganadora: 7E2 Motivo:  Win: SIPMonitor: 0|LAC2|TRA3|628|0.00|SI|22/05/2030 05:30:21|0|NO|||7.03|1|0
ENTRADA|2|G-71|23/05/2025 05:34:09|23/05/2025 05:36:12|0936860|20||7E2|61.20|5|59209|270.80|26.60|441||0|20/05/2025 10:15:49|20/05/2025 10:21:37|9173|INDIVIDUAL|Estiba Ganadora: 7E2 Motivo:  Win: SIPMonitor: 0|LAC2|TRA3|628|0.00|SI|22/05/2030 05:30:21|0|NO|||11.72|2|1
ENTRADA|3|G-71|23/05/2025 05:36:12|23/05/2025 05:38:15|0936860|20||7E2|67.21|3|59209|270.80|26.60|441||0|20/05/2025 10:21:38|20/05/2025 10:27:26|9173|INDIVIDUAL|Estiba Ganadora: 7E2 Motivo:  Win: SIPMonitor: 0|LAC2|TRA3|628|0.00|SI|22/05/2030 05:30:21|0|NO|||7.03|3|2
ENTRADA|4|G-71|23/05/2025 05:38:15|23/05/2025 05:40:18|0936860|20||7E2|67.21|5|59209|270.80|26.60|441||0|20/05/2025 10:27:27|20/05/2025 10:33:15|9173|INDIVIDUAL|Estiba Ganadora: 7E2 Motivo:  Win: SIPMonitor: 0|LAC2|TRA3|628|0.00|SI|22/05/2030 05:30:21|0|NO|||11.72|4|3
ENTRADA|5|G-71|23/05/2025 05:40:18|23/05/2025 05:42:21|0936860|20||7E2|73.23|3|59209|270.80|26.60|441||0|20/05/2025 10:33:16|20/05/2025 10:39:04|9173|INDIVIDUAL|Estiba Ganadora: 7E2 Motivo:  Win: SIPMonitor: 0|LAC2|TRA3|628|0.00|SI|22/05/2030 05:30:21|0|NO|||7.03|5|4
ENTRADA|6|G-71|23/05/2025 05:42:21|23/05/2025 05:44:24|0936860|20||7E2|73.23|5|59209|270.80|26.60|441||0|20/05/2025 10:39:05|20/05/2025 10:44:53|9173|INDIVIDUAL|Estiba Ganadora: 7E2 Motivo:  Win: SIPMonitor: 0|LAC2|TRA3|628|0.00|SI|22/05/2030 05:30:21|0|NO|||2.34|6|5
ENTRADA|7|G-71|23/05/2025 05:44:24|23/05/2025 05:46:27|0936860|20||7E2|79.24|3|59209|270.80|26.60|441||0|20/05/2025 10:39:05|20/05/2025 10:44:53|9173|INDIVIDUAL|Estiba Ganadora: 7E2 Motivo:  Win: SIPMonitor: 0|LAC2|TRA3|628|0.00|SI|22/05/2030 05:30:21|0|NO|||2.34|7|5
ENTRADA|8|G-71|23/05/2025 05:46:27|23/05/2025 05:48:30|0936860|20||7E2|79.24|1|59209|270.80|26.60|441||0|20/05/2025 10:39:05|20/05/2025 10:44:53|9173|INDIVIDUAL|Estiba Ganadora: 7E2 Motivo:  Win: SIPMonitor: 0|LAC2|TRA3|628|0.00|SI|22/05/2030 05:30:21|0|NO|||2.34|8|5
ENTRADA|9|G-73|23/05/2025 05:48:30|23/05/2025 05:50:15|5175402|10||7E13|82.98|2|59440|177.80|10.36|619||1000|21/05/2025 01:08:35|21/05/2025 01:10:19|85331|INDIVIDUAL|Estiba Ganadora: 7E13 Motivo: Equal: Similitud: 0 Win: Obtruccion: 1905669021|TRA3|LIN1|733|0.00|SI|22/05/2030 05:30:21|0|NO|||1.06|9|68
