ESTIBA|NIVEL|OP|ESTADO|COLADA|PRODUCTO|LOTE|PIEZAS|ACERO|DIAMETRO|ESPESOR|OCUPACION STOCK|OCUPACION_ESTIBA|FCH_STOCK|TONS|LINGADA|EN USO|PZS CARGAR
7E12|1|5193301|10|59706|85377|78373|14|621|177.800000|10.360000|4.32|37.53|22/05/2030 05:30:21|61.59|D0924177||0
7E12|2|5193301|10|59706|85377|78373|14|621|177.800000|10.360000|4.32|37.53|22/05/2030 05:30:21|61.59|D0924183||0
7E12|3|5193301|10|59706|85377|78373|14|621|177.800000|10.360000|4.32|37.53|22/05/2030 05:30:21|61.59|D0924187||0
7E12|4|5193301|10|59706|85377|78373|14|621|177.800000|10.360000|4.32|37.53|22/05/2030 05:30:21|61.59|D0924193||0
7E12|5|5193301|10|59706|85377|78373|4|621|177.800000|10.360000|4.32|37.53|22/05/2030 05:30:21|61.59|D0924202||0
7E12|6|5193301|10|59706|85377|78374|10|621|177.800000|10.360000|4.32|37.53|22/05/2030 05:30:21|61.59|D0924203||0
7E12|7|5193301|10|59706|85377|78374|14|621|177.800000|10.360000|4.32|37.53|22/05/2030 05:30:21|61.59|D0924205||0
7E12|8|5193301|10|59706|85377|78374|14|621|177.800000|10.360000|4.32|37.53|22/05/2030 05:30:21|61.59|D0924208||0
7E12|10|8084601|11|59627|23326|0|11|388|139.700000|5.400000|3.63|37.53|22/05/2030 05:30:21|61.59|E1836857||0
7E12|9|8084601|11|59627|23326|0|9|388|139.700000|5.400000|3.63|37.53|22/05/2030 05:30:21|61.59|E1836858||0
7F4|1|8084401|11|59698|23022|0|10|389|232.000000|5.600000|5.31|84.95|22/05/2030 05:30:21|62.70|E1837031||0
7F4|2|8084401|11|59698|23022|0|10|389|232.000000|5.600000|5.31|84.95|22/05/2030 05:30:21|62.70|E1837032||0
7F4|3|8084401|11|59698|23022|0|10|389|232.000000|5.600000|5.31|84.95|22/05/2030 05:30:21|62.70|E1837033||0
7F4|4|8084401|11|59698|23022|0|10|389|232.000000|5.600000|5.31|84.95|22/05/2030 05:30:21|62.70|E1837034||0
7F4|5|8084401|11|59698|23022|0|10|389|232.000000|5.600000|5.31|84.95|22/05/2030 05:30:21|62.70|E1837035||0
7F4|6|8084401|11|59698|23022|0|10|389|232.000000|5.600000|5.31|84.95|22/05/2030 05:30:21|62.70|E1837036||0
7F4|7|8084401|11|59698|23022|0|10|389|232.000000|5.600000|5.31|84.95|22/05/2030 05:30:21|62.70|E1837037||0
7F4|8|8084401|11|59698|23022|0|10|389|232.000000|5.600000|5.31|84.95|22/05/2030 05:30:21|62.70|E1837038||0
7F4|9|8084401|11|59698|23022|0|10|389|232.000000|5.600000|5.31|84.95|22/05/2030 05:30:21|62.70|E1837039||0
7F4|10|8084401|11|59698|23022|0|10|389|232.000000|5.600000|5.31|84.95|22/05/2030 05:30:21|62.70|E1837040||0
7F4|11|8084401|11|59698|23022|0|10|389|232.000000|5.600000|5.31|84.95|22/05/2030 05:30:21|62.70|E1837041||0
7F4|12|8084401|11|59698|23022|0|10|389|232.000000|5.600000|5.31|84.95|22/05/2030 05:30:21|62.70|E1837042||0
7F4|13|8084401|11|59698|23022|0|10|389|232.000000|5.600000|5.31|84.95|22/05/2030 05:30:21|62.70|E1837043||0
7F4|14|8084401|11|59698|23022|0|5|389|232.000000|5.600000|5.31|84.95|22/05/2030 05:30:21|62.70|E1837044||0
7F4|16|8084401|11|59698|23022|0|6|389|232.000000|5.600000|5.31|84.95|22/05/2030 05:30:21|62.70|E1836966||0
7F4|15|8084401|11|59698|23022|0|2|389|232.000000|5.600000|5.31|84.95|22/05/2030 05:30:21|62.70|E1836967||0
