MOVEMENT_TYPE|MOVEMENT_ID|INICIAL_DATE_MOV|FINISH_DATE_MOV|WORKORDER|STATUS|PIECES|HEAT|OUT_DIAMETER|STEEL_GRADE_DESC|CROMO_FLAG|SECU|LOT|INICIAL_DATE_PRG|FINISH_DATE_PRG|PRODUCT_ID|CENTRO|CENTROSIG|MoviReal|Pzas Prop|PzsxPda|SIP Monitor
ENTRADA|0|20/05/2025. 06:00:36|20/05/2025. 06:02:20|5175402|10|2|28300|177.80|619||NO SECU|1000|20/05/2025. 06:00:36|20/05/2025. 06:02:20|85331|TRA3|LIN1|67|113945976|113944480|
ENTRADA|1|20/05/2025. 10:10:00|20/05/2025. 10:15:48|0936860|20|5|59209|270.80|441||NO SECU|0|20/05/2025. 10:10:00|20/05/2025. 10:15:48|9173|LAC2|TRA3|0|28|5|[{"pieces":28,"platada":5,"location":"7E2"}]
ENTRADA|2|20/05/2025. 10:15:49|20/05/2025. 10:21:37|0936860|20|5|59209|270.80|441||NO SECU|0|20/05/2025. 10:15:49|20/05/2025. 10:21:37|9173|LAC2|TRA3|1|28|5|[{"pieces":28,"platada":5,"location":"7E2"}]
ENTRADA|3|20/05/2025. 10:21:38|20/05/2025. 10:27:26|0936860|20|5|59209|270.80|441||NO SECU|0|20/05/2025. 10:21:38|20/05/2025. 10:27:26|9173|LAC2|TRA3|2|28|5|[{"pieces":28,"platada":5,"location":"7E2"}]
ENTRADA|4|20/05/2025. 10:27:27|20/05/2025. 10:33:15|0936860|20|5|59209|270.80|441||NO SECU|0|20/05/2025. 10:27:27|20/05/2025. 10:33:15|9173|LAC2|TRA3|3|28|5|[{"pieces":28,"platada":5,"location":"7E2"}]
ENTRADA|5|20/05/2025. 10:33:16|20/05/2025. 10:39:04|0936860|20|5|59209|270.80|441||NO SECU|0|20/05/2025. 10:33:16|20/05/2025. 10:39:04|9173|LAC2|TRA3|4|28|5|[{"pieces":28,"platada":5,"location":"7E2"}]
ENTRADA|6|20/05/2025. 10:39:05|20/05/2025. 10:44:53|0936860|20|3|59209|270.80|441||NO SECU|0|20/05/2025. 10:39:05|20/05/2025. 10:44:53|9173|LAC2|TRA3|5|28|5|[{"pieces":28,"platada":5,"location":"7E2"}]
ENTRADA|7|21/05/2025. 01:08:35|21/05/2025. 01:10:19|5175402|10|2|59440|177.80|619||NO SECU|1000|21/05/2025. 01:08:35|21/05/2025. 01:10:19|85331|TRA3|LIN1|68|114417488|114415448|
ENTRADA|8|22/05/2025. 23:12:22|22/05/2025. 23:23:56|5060101|47|2|28903|273.05|351||NO SECU|2000|22/05/2025. 23:12:22|22/05/2025. 23:23:56|84971|TRA3|UTL3|69|114530992|114534120|
ENTRADA|9|23/05/2025. 00:53:56|23/05/2025. 01:25:22|0947303|11|12|59595|158.10|668||SECU|5000|23/05/2025. 00:53:56|23/05/2025. 01:25:22|9148|TRA3|UTL3|72|114054664|114054256|
ENTRADA|10|23/05/2025. 00:53:56|23/05/2025. 00:53:56|5726207||1|57721|273.05|351||NO SECU|4000|23/05/2025. 00:53:56|23/05/2025. 00:53:56|84971|TRA3||71|122184456|122185000|
ENTRADA|11|23/05/2025. 00:53:56|23/05/2025. 00:53:56|5726208||5|26827|273.05|351||NO SECU|3000|23/05/2025. 00:53:56|23/05/2025. 00:53:56|84971|TRA3||70|122197240|122199416|
ENTRADA|12|23/05/2025. 00:59:00|23/05/2025. 01:03:00|8076701|20|11|59760|193.68|714||NO SECU|0|23/05/2025. 00:59:00|23/05/2025. 01:03:00|85426|LAC2|TRA2|6|162|11|[{"pieces":162,"platada":11,"location":"7F6"}]
ENTRADA|13|23/05/2025. 01:03:01|23/05/2025. 01:07:01|8076701|20|11|59760|193.68|714||NO SECU|0|23/05/2025. 01:03:01|23/05/2025. 01:07:01|85426|LAC2|TRA2|7|162|11|[{"pieces":162,"platada":11,"location":"7F6"}]
ENTRADA|14|23/05/2025. 01:07:02|23/05/2025. 01:11:02|8076701|20|11|59760|193.68|714||NO SECU|0|23/05/2025. 01:07:02|23/05/2025. 01:11:02|85426|LAC2|TRA2|8|162|11|[{"pieces":162,"platada":11,"location":"7F6"}]
ENTRADA|15|23/05/2025. 01:11:03|23/05/2025. 01:15:03|8076701|20|11|59760|193.68|714||NO SECU|0|23/05/2025. 01:11:03|23/05/2025. 01:15:03|85426|LAC2|TRA2|9|162|11|[{"pieces":162,"platada":11,"location":"7F6"}]
ENTRADA|16|23/05/2025. 01:15:04|23/05/2025. 01:19:04|8076701|20|11|59760|193.68|714||NO SECU|0|23/05/2025. 01:15:04|23/05/2025. 01:19:04|85426|LAC2|TRA2|10|162|11|[{"pieces":162,"platada":11,"location":"7F6"}]
ENTRADA|17|23/05/2025. 01:19:05|23/05/2025. 01:23:05|8076701|20|11|59760|193.68|714||NO SECU|0|23/05/2025. 01:19:05|23/05/2025. 01:23:05|85426|LAC2|TRA2|11|162|11|[{"pieces":162,"platada":11,"location":"7F6"}]
ENTRADA|18|23/05/2025. 01:23:06|23/05/2025. 01:27:06|8076701|20|11|59760|193.68|714||NO SECU|0|23/05/2025. 01:23:06|23/05/2025. 01:27:06|85426|LAC2|TRA2|12|162|11|[{"pieces":162,"platada":11,"location":"7F6"}]
ENTRADA|19|23/05/2025. 01:25:23|23/05/2025. 01:41:06|0947303|11|6|59595|158.10|668||SECU|5000|23/05/2025. 01:25:23|23/05/2025. 01:41:06|9148|TRA3|UTL3|73|114674528|114673984|
ENTRADA|20|23/05/2025. 01:27:07|23/05/2025. 01:31:07|8076701|20|11|59760|193.68|714||NO SECU|0|23/05/2025. 01:27:07|23/05/2025. 01:31:07|85426|LAC2|TRA2|13|162|11|[{"pieces":162,"platada":11,"location":"7F6"}]
ENTRADA|21|23/05/2025. 01:31:08|23/05/2025. 01:35:08|8076701|20|11|59760|193.68|714||NO SECU|0|23/05/2025. 01:31:08|23/05/2025. 01:35:08|85426|LAC2|TRA2|14|162|11|[{"pieces":162,"platada":11,"location":"7F6"}]
ENTRADA|22|23/05/2025. 01:35:09|23/05/2025. 01:39:09|8076701|20|11|59760|193.68|714||NO SECU|0|23/05/2025. 01:35:09|23/05/2025. 01:39:09|85426|LAC2|TRA2|15|162|11|[{"pieces":162,"platada":11,"location":"7F6"}]
ENTRADA|23|23/05/2025. 01:39:10|23/05/2025. 01:43:10|8076701|20|11|59760|193.68|714||NO SECU|0|23/05/2025. 01:39:10|23/05/2025. 01:43:10|85426|LAC2|TRA2|16|162|11|[{"pieces":162,"platada":11,"location":"7F6"}]
ENTRADA|24|23/05/2025. 01:41:06|23/05/2025. 02:27:23|5060101|11|8|59736|273.05|351||NO SECU|6000|23/05/2025. 01:41:06|23/05/2025. 02:27:23|84971|TRA3|UTL3|74|122383400|122380544|
ENTRADA|25|23/05/2025. 01:43:11|23/05/2025. 01:47:11|8076701|20|11|59760|193.68|714||NO SECU|0|23/05/2025. 01:43:11|23/05/2025. 01:47:11|85426|LAC2|TRA2|17|162|11|[{"pieces":162,"platada":11,"location":"7F6"}]
